transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned,month,year
T0000063,1/3/2023,P014455,S005,C016297,4.0,0.00,0.0,1,2023
T0000064,9/12/2020,P026359,S003,C010093,1.0,0.00,0.0,9,2020
T0000065,2/14/2022,P039116,S002,C000365,2.0,0.00,0.0,2,2022
T0000066,6/10/2020,P021864,S004,C022174,2.0,0.30,0.0,6,2020
T0000067,2/4/2023,P024326,S001,C024711,1.0,0.00,0.0,2,2023
T0000068,8/23/2021,P040214,S004,C020319,1.0,0.00,0.0,8,2021
T0000069,8/25/2024,P042994,S003,C005049,4.0,0.00,0.0,8,2024
T0000070,7/11/2023,P039757,S001,C001909,3.0,0.20,0.0,7,2023
T0000071,6/20/2023,P039162,S002,C023513,3.0,0.00,0.0,6,2023
T0000073,10/30/2024,P011677,S001,C016524,2.0,0.00,0.0,10,2024
T0000074,1/10/2022,P007205,S001,C021719,2.0,0.00,1.0,1,2022
T0000075,3/28/2023,P000691,S002,C008004,2.0,0.00,0.0,3,2023
T0000076,1/28/2021,P026583,S003,C020747,2.0,0.00,0.0,1,2021
T0000077,12/13/2023,P021780,S004,C022485,3.0,0.00,0.0,12,2023
T0000078,5/22/2020,P040809,S004,C010917,2.0,0.00,0.0,5,2020
T0000079,4/3/2020,P001675,S005,C021940,1.0,0.00,1.0,4,2020
T0000080,9/16/2023,P999999,S003,C020459,4.0,0.00,0.0,9,2023
T0000081,4/11/2021,P045247,S003,C010681,4.0,0.20,0.0,4,2021
T0000082,5/2/2024,P020829,S003,C000978,1.0,0.10,0.0,5,2024
T0000083,8/15/2021,P019849,S005,C011508,3.0,0.20,0.0,8,2021
T0000085,10/17/2024,P047287,S003,C019469,3.0,0.00,0.0,10,2024
T0000086,4/21/2021,P010632,S001,C005579,3.0,0.00,0.0,4,2021
T0000087,11/9/2024,P008812,S001,C019996,2.0,0.00,0.0,11,2024
T0000088,7/25/2020,P005535,S002,C014899,3.0,0.10,0.0,7,2020
T0000089,2/17/2022,P034298,S005,C002964,4.0,0.20,0.0,2,2022
T0000090,7/23/2021,P001672,S005,C006813,1.0,0.10,0.0,7,2021
T0000091,7/17/2022,P037515,S005,C006552,2.0,0.00,1.0,7,2022
T0000092,7/25/2023,P045322,S001,C014137,3.0,0.00,0.0,7,2023
T0000093,9/4/2024,P007935,S005,C000563,3.0,0.00,0.0,9,2024
T0000094,1/17/2022,P021739,S002,C013100,4.0,0.00,0.0,1,2022
T0000095,11/29/2020,P015749,S002,C007400,1.0,0.00,0.0,11,2020
T0000096,1/28/2022,P004624,S002,C022510,2.0,0.00,0.0,1,2022
T0000097,12/28/2021,P047695,S002,C011695,4.0,0.00,0.0,12,2021
T0000098,3/5/2021,P047438,S002,C000610,2.0,0.00,0.0,3,2021
T0000099,10/4/2023,P018768,S001,C018143,4.0,0.00,0.0,10,2023
T0000100,6/30/2021,P022424,S003,C004289,2.0,0.00,0.0,6,2021
T0000101,12/8/2023,P010364,S005,C003700,4.0,0.00,0.0,12,2023
T0000102,10/31/2023,P045999,S005,C013615,2.0,0.10,0.0,10,2023
T0000103,8/20/2023,P000999,S001,C004769,2.0,0.00,0.0,8,2023
T0000104,5/26/2020,P019694,S002,C011571,1.0,0.00,1.0,5,2020
T0000105,6/1/2023,P005257,S003,C019243,2.0,0.20,0.0,6,2023
T0000106,7/24/2023,P024551,S002,C013947,1.0,0.00,0.0,7,2023
T0000107,12/16/2020,P005756,S004,C024139,3.0,0.10,0.0,12,2020
T0000108,12/29/2022,P010074,S003,C016445,4.0,0.00,0.0,12,2022
T0000109,2/2/2024,P007999,S004,C001867,2.0,0.00,0.0,2,2024
T0000110,5/16/2021,P037676,S002,C009061,1.0,0.20,0.0,5,2021
T0000111,11/30/2020,P011935,S005,C014408,1.0,0.00,0.0,11,2020
T0000112,8/4/2022,P022733,S004,C001967,3.0,0.00,0.0,8,2022
T0000113,2/16/2022,P011048,S999,C000513,3.0,0.10,0.0,2,2022
T0000114,7/6/2021,P018064,S004,C014472,4.0,0.30,1.0,7,2021
T0000115,8/3/2023,P000175,S001,C021497,4.0,0.00,0.0,8,2023
T0000116,11/10/2023,P046361,S003,C019107,3.0,0.00,0.0,11,2023
T0000117,2/14/2023,P011631,S003,C004613,1.0,0.00,1.0,2,2023
T0000118,3/25/2021,P023526,S001,C002657,1.0,0.00,0.0,3,2021
T0000119,11/3/2023,P010269,S002,C000877,1.0,0.00,0.0,11,2023
T0000120,10/26/2021,P047765,S004,C020900,4.0,0.00,0.0,10,2021
T0000121,9/22/2024,P009258,S003,C021365,4.0,0.00,0.0,9,2024
T0000122,4/22/2024,P041064,S002,C023659,2.0,0.30,0.0,4,2024
T0000123,5/8/2024,P046225,S001,C005929,3.0,0.00,0.0,5,2024
T0000124,4/24/2020,P045311,S002,C001070,1.0,0.00,0.0,4,2020
T0000125,4/14/2021,P018808,S005,C003791,3.0,0.20,0.0,4,2021
T0000126,8/10/2024,P008867,S001,C020044,3.0,0.10,0.0,8,2024
T0000127,3/6/2020,P023071,S001,C009765,4.0,0.00,0.0,3,2020
T0000128,7/6/2024,P043070,S003,C001560,1.0,0.00,0.0,7,2024
T0000129,10/8/2021,P005797,S001,C012462,2.0,0.00,0.0,10,2021
T0000130,4/1/2022,P049759,S002,C007923,3.0,0.10,0.0,4,2022
T0000131,7/2/2021,P038916,S002,C014419,1.0,0.00,0.0,7,2021
T0000132,5/15/2020,P048881,S005,C016277,3.0,0.00,0.0,5,2020
T0000133,3/8/2021,P036566,S003,C017449,1.0,0.00,0.0,3,2021
T0000134,3/7/2023,P025195,S004,C016960,2.0,0.10,0.0,3,2023
T0000135,11/29/2024,P038211,S001,C002850,4.0,0.00,1.0,11,2024
T0000136,1/10/2024,P013491,S003,C005569,1.0,0.00,0.0,1,2024
T0000137,10/6/2021,P040519,S001,C011146,2.0,0.30,0.0,10,2021
T0000138,3/11/2021,P021436,S001,C004850,1.0,0.00,0.0,3,2021
T0000139,9/4/2023,P032090,S002,C004346,4.0,0.00,0.0,9,2023
T0000140,10/19/2022,P010896,S005,C020138,2.0,0.00,0.0,10,2022
T0000141,3/21/2022,P004366,S003,C009661,4.0,0.10,0.0,3,2022
T0000142,12/16/2024,P041982,S001,C019570,1.0,0.00,0.0,12,2024
T0000143,8/9/2023,P010596,S005,C020810,4.0,0.10,0.0,8,2023
T0000144,7/28/2022,P031824,S004,C004233,3.0,0.00,0.0,7,2022
T0000145,10/19/2020,P037145,S002,C017825,4.0,0.00,0.0,10,2020
T0000146,6/26/2021,P009104,S002,C002704,3.0,0.10,0.0,6,2021
T0000147,10/12/2020,P017843,S002,C015373,4.0,0.10,0.0,10,2020
T0000148,5/20/2021,P037175,S002,C000300,1.0,0.10,0.0,5,2021
T0000149,3/5/2024,P046313,S005,C021177,1.0,0.00,1.0,3,2024
T0000150,2/23/2023,P025562,S005,C015504,2.0,0.00,0.0,2,2023
T0000151,1/8/2023,P002241,S004,C011680,2.0,0.00,0.0,1,2023
T0000152,6/22/2021,P005085,S003,C024628,3.0,0.00,0.0,6,2021
T0000153,3/9/2024,P008642,S003,C001033,1.0,0.00,0.0,3,2024
T0000154,4/12/2023,P031588,S002,C021494,3.0,0.10,0.0,4,2023
T0000155,5/27/2022,P008216,S002,C004556,1.0,0.30,0.0,5,2022
T0000156,4/10/2023,P025587,S004,C001883,4.0,0.00,0.0,4,2023
T0000157,3/28/2022,P015124,S004,C016863,4.0,0.00,0.0,3,2022
T0000158,1/11/2022,P018718,S002,C022101,4.0,0.10,0.0,1,2022
T0000159,3/25/2021,P028980,S001,C003163,3.0,0.00,0.0,3,2021
T0000160,10/10/2020,P004322,S005,C020617,4.0,0.00,0.0,10,2020
T0000162,10/7/2022,P003319,S001,C006702,1.0,0.10,0.0,10,2022
T0000163,7/5/2020,P019788,S002,C024880,1.0,0.00,0.0,7,2020
T0000164,3/27/2024,P013122,S002,C018761,4.0,0.00,0.0,3,2024
T0000165,4/6/2020,P045932,S003,C019176,1.0,0.00,0.0,4,2020
T0000166,10/29/2024,P011962,S002,C005725,4.0,0.00,1.0,10,2024
T0000167,8/12/2020,P040976,S002,C015179,3.0,0.20,0.0,8,2020
T0000168,11/9/2020,P022340,S002,C018902,1.0,0.20,0.0,11,2020
T0000169,7/9/2023,P010595,S004,C017938,3.0,0.10,0.0,7,2023
T0000170,11/23/2020,P016425,S002,C023986,1.0,0.00,0.0,11,2020
T0000171,6/10/2024,P004334,S004,C013044,4.0,0.00,0.0,6,2024
T0000172,10/25/2023,P033285,S004,C024393,3.0,0.00,1.0,10,2023
T0000173,5/14/2022,P048340,S001,C006874,2.0,0.00,0.0,5,2022
T0000174,5/6/2023,P030796,S002,C015400,2.0,0.00,1.0,5,2023
T0000175,5/10/2020,P042607,S003,C011265,1.0,0.10,1.0,5,2020
T0000176,2/27/2022,P045553,S003,C006481,3.0,0.00,0.0,2,2022
T0000177,2/20/2022,P009591,S001,C012633,4.0,0.00,0.0,2,2022
T0000178,5/5/2023,P021337,S002,C011612,4.0,0.00,0.0,5,2023
T0000180,12/19/2022,P007626,S001,C010681,3.0,0.10,0.0,12,2022
T0000181,5/29/2021,P043166,S002,C010142,3.0,0.00,0.0,5,2021
T0000182,2/7/2023,P040414,S002,C005660,2.0,0.20,0.0,2,2023
T0000183,10/28/2024,P014756,S002,C013356,1.0,0.10,0.0,10,2024
T0000184,1/24/2020,P012722,S001,C022596,3.0,0.00,0.0,1,2020
T0000185,10/25/2023,P016745,S001,C001405,4.0,0.10,1.0,10,2023
T0000186,1/16/2024,P044270,S005,C018359,4.0,0.00,0.0,1,2024
T0000187,8/22/2020,P041283,S001,C012740,2.0,0.00,1.0,8,2020
T0000188,10/28/2023,P033158,S004,C011826,4.0,0.00,0.0,10,2023
T0000189,12/17/2024,P009921,S004,C010946,3.0,0.00,0.0,12,2024
T0000190,1/4/2023,P002933,S003,C012810,1.0,0.00,0.0,1,2023
T0000191,3/17/2024,P048624,S003,C007205,1.0,0.30,0.0,3,2024
T0000193,4/23/2024,P002724,S002,C016454,2.0,0.00,0.0,4,2024
T0000194,8/5/2023,P005108,S005,C024577,2.0,0.00,0.0,8,2023
T0000195,11/27/2021,P011231,S002,C020086,4.0,0.10,0.0,11,2021
T0000196,8/16/2020,P014523,S002,C003212,2.0,0.00,0.0,8,2020
T0000197,8/24/2021,P029837,S003,C008130,4.0,0.20,0.0,8,2021
T0000198,6/9/2022,P001961,S004,C008338,1.0,0.00,0.0,6,2022
T0000199,11/19/2020,P003358,S001,C010484,1.0,0.00,1.0,11,2020
T0000200,7/18/2022,P030229,S001,C009063,3.0,0.00,0.0,7,2022
T0000201,1/7/2020,P010742,S004,C018516,3.0,0.10,0.0,1,2020
T0000202,1/18/2024,P037588,S001,C009568,3.0,0.10,0.0,1,2024
T0000203,11/28/2024,P014633,S003,C010856,2.0,0.00,0.0,11,2024
T0000204,1/13/2024,P025605,S005,C012141,3.0,0.20,0.0,1,2024
T0000205,6/23/2021,P008412,S001,C008894,2.0,0.00,0.0,6,2021
T0000206,10/22/2022,P020071,S002,C024310,4.0,0.00,1.0,10,2022
T0000207,4/9/2024,P004427,S001,C009713,2.0,0.00,0.0,4,2024
T0000208,12/31/2020,P023520,S005,C014530,2.0,0.00,0.0,12,2020
T0000209,11/5/2022,P048749,S002,C004097,2.0,0.00,0.0,11,2022
T0000210,8/5/2020,P005857,S004,C021535,1.0,0.00,0.0,8,2020
T0000212,7/4/2023,P049247,S003,C000441,3.0,0.10,0.0,7,2023
T0000213,9/3/2021,P030654,S001,C013244,3.0,0.10,1.0,9,2021
T0000214,9/19/2024,P045525,S002,C019068,1.0,0.00,0.0,9,2024
T0000215,8/1/2023,P023565,S999,C018205,3.0,0.00,0.0,8,2023
T0000216,11/5/2022,P037793,S002,C021528,1.0,0.00,0.0,11,2022
T0000217,6/1/2023,P001905,S001,C011218,2.0,0.00,0.0,6,2023
T0000218,2/11/2021,P036938,S001,C010342,3.0,0.00,0.0,2,2021
T0000219,11/9/2020,P025231,S005,C015134,4.0,0.30,0.0,11,2020
T0000220,2/4/2022,P022763,S003,C002184,4.0,0.00,0.0,2,2022
T0000221,4/10/2024,P046361,S003,C021070,4.0,0.00,0.0,4,2024
T0000222,11/26/2020,P042994,S002,C022674,2.0,0.10,0.0,11,2020
T0000223,1/9/2023,P016312,S002,C003293,2.0,0.00,0.0,1,2023
T0000224,5/13/2024,P005745,S002,C004238,4.0,0.00,0.0,5,2024
T0000225,12/22/2022,P043650,S004,C004248,1.0,0.00,0.0,12,2022
T0000226,1/2/2020,P011862,S005,C008190,1.0,0.00,0.0,1,2020
T0000227,5/11/2023,P015014,S003,C011843,3.0,0.10,0.0,5,2023
T0000228,10/25/2021,P013761,S004,C010340,2.0,0.00,0.0,10,2021
T0000229,9/27/2022,P018902,S005,C016645,4.0,0.00,0.0,9,2022
T0000230,2/9/2020,P037959,S005,C022619,1.0,0.00,0.0,2,2020
T0000231,8/17/2020,P048205,S004,C021075,2.0,0.00,0.0,8,2020
T0000232,1/13/2022,P046950,S002,C004290,2.0,0.00,0.0,1,2022
T0000233,12/4/2024,P001626,S004,C021455,2.0,0.10,0.0,12,2024
T0000234,8/30/2024,P012444,S005,C023626,4.0,0.30,0.0,8,2024
T0000235,7/10/2024,P002080,S002,C018096,2.0,0.00,0.0,7,2024
T0000236,9/21/2021,P020297,S003,C003009,1.0,0.10,0.0,9,2021
T0000237,5/5/2021,P024906,S005,C014229,4.0,0.00,0.0,5,2021
T0000238,4/28/2020,P012969,S004,C012828,3.0,0.00,0.0,4,2020
T0000239,5/8/2021,P004919,S001,C018869,3.0,0.00,0.0,5,2021
T0000240,12/3/2024,P019206,S002,C011081,2.0,0.00,0.0,12,2024
T0000241,3/7/2023,P034280,S004,C005582,4.0,0.30,0.0,3,2023
T0000242,6/10/2020,P037360,S004,C011882,2.0,0.00,0.0,6,2020
T0000243,6/24/2020,P043662,S003,C000804,1.0,0.30,0.0,6,2020
T0000244,2/7/2024,P049325,S001,C020544,3.0,0.10,0.0,2,2024
T0000245,9/22/2022,P006784,S001,C012370,3.0,0.00,0.0,9,2022
T0000246,7/29/2024,P045494,S002,C005178,1.0,0.10,0.0,7,2024
T0000247,5/21/2020,P046582,S005,C011447,2.0,0.10,0.0,5,2020
T0000248,4/6/2024,P026042,S005,C014103,1.0,0.10,0.0,4,2024
T0000249,12/26/2022,P013863,S001,C024603,3.0,0.20,0.0,12,2022
T0000250,4/17/2024,P040707,S002,C010365,1.0,0.00,0.0,4,2024
T0000251,9/14/2020,P013624,S004,C019069,4.0,0.00,0.0,9,2020
T0000252,9/19/2020,P027950,S001,C009287,4.0,0.00,0.0,9,2020
T0000254,8/31/2022,P007477,S002,C024903,1.0,0.20,0.0,8,2022
T0000255,1/30/2023,P022447,S001,C005745,4.0,0.00,0.0,1,2023
T0000256,12/4/2020,P014761,S004,C024911,2.0,0.10,0.0,12,2020
T0000257,6/26/2021,P044899,S003,C002355,4.0,0.00,0.0,6,2021
T0000258,12/16/2022,P005960,S005,C001642,4.0,0.10,0.0,12,2022
T0000259,11/21/2024,P012490,S005,C002611,2.0,0.00,0.0,11,2024
T0000260,5/27/2023,P010914,S003,C007439,3.0,0.00,1.0,5,2023
T0000261,5/16/2022,P001032,S001,C020574,1.0,0.10,1.0,5,2022
T0000262,3/9/2021,P007574,S003,C005479,4.0,0.10,0.0,3,2021
T0000263,1/9/2023,P044134,S005,C005182,2.0,0.10,1.0,1,2023
T0000264,3/26/2024,P047588,S003,C021645,4.0,0.10,0.0,3,2024
T0000265,2/3/2024,P007960,S005,C008714,2.0,0.00,0.0,2,2024
T0000266,11/13/2023,P035220,S003,C022501,1.0,0.00,1.0,11,2023
T0000268,12/31/2023,P023727,S003,C024115,2.0,0.00,0.0,12,2023
T0000269,9/30/2021,P000791,S004,C023304,4.0,0.10,0.0,9,2021
T0000270,3/28/2022,P039000,S001,C000395,4.0,0.00,0.0,3,2022
T0000271,10/7/2023,P038541,S001,C010293,2.0,0.00,0.0,10,2023
T0000272,8/23/2023,P022560,S004,C023825,2.0,0.30,0.0,8,2023
T0000273,2/3/2022,P036124,S005,C016086,1.0,0.10,0.0,2,2022
T0000274,6/16/2022,P012769,S003,C021003,3.0,0.20,0.0,6,2022
T0000275,11/25/2022,P005656,S001,C010681,1.0,0.00,0.0,11,2022
T0000276,7/13/2022,P031191,S004,C008992,1.0,0.20,0.0,7,2022
T0000277,9/4/2020,P028594,S005,C024768,4.0,0.00,0.0,9,2020
T0000278,5/22/2021,P020268,S001,C000696,2.0,0.00,0.0,5,2021
T0000279,4/5/2021,P047781,S005,C003442,2.0,0.10,0.0,4,2021
T0000280,5/11/2020,P015782,S004,C020651,4.0,0.10,1.0,5,2020
T0000281,11/23/2021,P008974,S003,C024560,2.0,0.00,0.0,11,2021
T0000282,2/13/2020,P046094,S002,C016423,1.0,0.00,0.0,2,2020
T0000283,4/19/2023,P005109,S001,C013990,1.0,0.00,0.0,4,2023
T0000284,2/8/2023,P021020,S004,C009361,3.0,0.10,0.0,2,2023
T0000285,4/16/2021,P005570,S001,C024304,4.0,0.10,0.0,4,2021
T0000286,4/20/2023,P027428,S001,C020487,3.0,0.10,0.0,4,2023
T0000287,3/27/2021,P049025,S004,C001733,3.0,0.10,0.0,3,2021
T0000288,1/15/2020,P012442,S001,C021910,2.0,0.00,0.0,1,2020
T0000289,5/25/2020,P044502,S002,C003400,1.0,0.00,0.0,5,2020
T0000290,12/20/2023,P008077,S002,C010544,1.0,0.10,1.0,12,2023
T0000291,7/16/2023,P029928,S004,C017389,4.0,0.30,0.0,7,2023
T0000292,4/30/2020,P017069,S004,C015911,2.0,0.10,0.0,4,2020
T0000293,4/13/2021,P012396,S001,C021544,1.0,0.00,0.0,4,2021
T0000294,5/18/2020,P001003,S004,C009736,1.0,0.00,0.0,5,2020
T0000295,3/5/2020,P024604,S004,C000261,3.0,0.00,0.0,3,2020
T0000297,11/7/2021,P036639,S005,C016548,2.0,0.20,0.0,11,2021
T0000298,5/25/2020,P020438,S001,C021888,2.0,0.00,1.0,5,2020
T0000299,11/18/2022,P016797,S004,C020722,3.0,0.00,0.0,11,2022
T0000300,5/2/2021,P031188,S001,C013492,2.0,0.00,0.0,5,2021
T0000301,7/24/2021,P026159,S001,C010355,4.0,0.00,0.0,7,2021
T0000302,10/2/2023,P037525,S003,C000560,3.0,0.00,0.0,10,2023
T0000303,9/21/2022,P040975,S002,C024341,3.0,0.10,1.0,9,2022
T0000304,3/14/2021,P001879,S004,C003722,2.0,0.00,0.0,3,2021
T0000305,1/9/2023,P024254,S003,C003493,1.0,0.00,0.0,1,2023
T0000306,9/27/2020,P004496,S004,C004592,4.0,0.00,1.0,9,2020
T0000307,1/21/2024,P035367,S002,C021674,1.0,0.10,0.0,1,2024
T0000308,12/12/2024,P028618,S005,C016482,3.0,0.00,0.0,12,2024
T0000309,3/15/2023,P040121,S003,C006196,2.0,0.00,0.0,3,2023
T0000310,3/26/2023,P019421,S001,C022321,4.0,0.20,0.0,3,2023
T0000311,8/26/2022,P039247,S004,C021359,2.0,0.00,0.0,8,2022
T0000312,5/12/2021,P024344,S004,C015172,3.0,0.00,1.0,5,2021
T0000313,5/25/2024,P031529,S003,C007181,4.0,0.00,0.0,5,2024
T0000314,8/26/2022,P047975,S002,C017121,4.0,0.00,0.0,8,2022
T0000315,7/11/2024,P032159,S001,C006776,3.0,0.00,0.0,7,2024
T0000316,4/13/2022,P020790,S005,C000432,1.0,0.00,0.0,4,2022
T0000317,1/24/2021,P010722,S003,C008806,3.0,0.00,0.0,1,2021
T0000318,7/12/2020,P046631,S004,C012116,2.0,0.00,0.0,7,2020
T0000319,7/17/2020,P049849,S003,C007240,3.0,0.00,0.0,7,2020
T0000320,9/11/2023,P034074,S001,C007096,3.0,0.00,0.0,9,2023
T0000321,6/1/2022,P040919,S001,C019782,3.0,0.00,1.0,6,2022
T0000322,12/26/2021,P001897,S003,C019004,1.0,0.00,0.0,12,2021
T0000323,5/17/2022,P026959,S005,C021992,1.0,0.00,0.0,5,2022
T0000324,4/21/2022,P039281,S002,C014217,1.0,0.00,0.0,4,2022
T0000325,8/14/2022,P005903,S004,C004839,3.0,0.00,0.0,8,2022
T0000326,11/4/2024,P040099,S002,C003897,3.0,0.00,0.0,11,2024
T0000327,2/2/2024,P002590,S003,C018709,1.0,0.00,1.0,2,2024
T0000328,4/20/2020,P049262,S005,C003425,3.0,0.00,0.0,4,2020
T0000329,10/11/2023,P041900,S003,C012122,1.0,0.10,0.0,10,2023
T0000330,8/31/2023,P043574,S002,C005921,3.0,0.00,0.0,8,2023
T0000331,8/16/2023,P039574,S003,C001816,4.0,0.10,0.0,8,2023
T0000332,7/20/2020,P003792,S002,C015780,4.0,0.00,0.0,7,2020
T0000333,5/4/2020,P041929,S004,C007886,2.0,0.10,1.0,5,2020
T0000334,4/4/2022,P017989,S003,C006964,4.0,0.00,0.0,4,2022
T0000335,1/31/2024,P016380,S003,C012572,3.0,0.00,0.0,1,2024
T0000336,11/25/2021,P029162,S002,C002660,4.0,0.00,0.0,11,2021
T0000337,6/27/2024,P042633,S002,C018142,1.0,0.00,1.0,6,2024
T0000338,10/30/2024,P041894,S003,C007086,3.0,0.00,0.0,10,2024
T0000339,8/11/2020,P024464,S005,C001445,2.0,0.00,0.0,8,2020
T0000340,5/24/2021,P004471,S001,C014777,2.0,0.00,0.0,5,2021
T0000341,1/27/2021,P026500,S003,C008174,4.0,0.00,0.0,1,2021
T0000342,1/24/2021,P004822,S001,C000539,2.0,0.00,0.0,1,2021
T0000343,1/3/2023,P026931,S004,C004418,2.0,0.00,0.0,1,2023
T0000344,7/7/2022,P038530,S005,C015315,2.0,0.00,0.0,7,2022
T0000345,10/14/2020,P001653,S005,C022302,2.0,0.20,0.0,10,2020
T0000346,5/14/2022,P041302,S002,C005594,3.0,0.00,0.0,5,2022
T0000348,7/24/2021,P008901,S001,C021261,2.0,0.00,0.0,7,2021
T0000349,8/5/2022,P013609,S003,C023673,2.0,0.20,1.0,8,2022
T0000350,5/26/2021,P010231,S005,C010196,4.0,0.00,0.0,5,2021
T0000351,11/25/2024,P034976,S005,C024678,4.0,0.10,0.0,11,2024
T0000352,6/3/2020,P001923,S004,C002062,2.0,0.10,0.0,6,2020
T0000353,6/26/2022,P038416,S003,C019226,1.0,0.10,0.0,6,2022
T0000354,7/12/2024,P030626,S002,C005183,2.0,0.20,0.0,7,2024
T0000355,10/30/2024,P035917,S002,C013550,3.0,0.00,0.0,10,2024
T0000357,2/1/2023,P005300,S002,C012928,4.0,0.20,0.0,2,2023
T0000358,7/19/2020,P032254,S004,C024769,3.0,0.00,0.0,7,2020
T0000359,4/13/2020,P004584,S003,C016012,3.0,0.20,0.0,4,2020
T0000360,8/28/2023,P027400,S001,C003856,4.0,0.00,0.0,8,2023
T0000361,1/12/2023,P005776,S005,C017717,2.0,0.00,0.0,1,2023
T0000362,9/8/2024,P040819,S002,C024886,4.0,0.00,0.0,9,2024
T0000363,1/31/2020,P026028,S005,C007526,1.0,0.00,0.0,1,2020
